    PID CMD                            PPID    PGID     SID
   1228 /usr/lib/systemd/systemd --       1    1228    1228
   1230 (sd-pam)                       1228    1228    1228
   1256 /usr/bin/pipewire              1228    1256    1256
   1257 /usr/bin/pipewire -c filter    1228    1257    1257
   1261 /usr/bin/wireplumber           1228    1261    1261
   1262 /usr/bin/pipewire-pulse        1228    1262    1262
   1263 /usr/bin/gnome-keyring-daem    1228    1263    1263
   1269 /usr/bin/dbus-daemon --sess    1228    1269    1269
   1302 /usr/libexec/xdg-document-p    1228    1302    1302
   1325 /usr/libexec/xdg-permission    1228    1325    1325
   1386 /usr/libexec/gcr-ssh-agent     1228    1386    1386
   1387 /usr/libexec/gnome-session-    1228    1387    1387
   1401 /usr/libexec/gvfsd             1228    1401    1401
   1409 /usr/libexec/gvfsd-fuse /ru    1228    1401    1401
   1412 /usr/libexec/gnome-session-    1228    1412    1412
   1452 /usr/libexec/at-spi-bus-lau    1412    1412    1412
   1454 /usr/bin/gnome-shell           1228    1454    1454
   1467 /usr/bin/dbus-daemon --conf    1452    1412    1412
   1535 /usr/libexec/at-spi2-regist    1228    1412    1412
   1574 /usr/libexec/gnome-shell-ca    1228    1269    1269
   1583 /usr/libexec/evolution-sour    1228    1583    1583
   1591 /snap/snapd-desktop-integra    1228    1591    1591
   1593 /usr/bin/gjs -m /usr/share/    1228    1269    1269
   1609 /usr/bin/ibus-daemon --pane    1228    1609    1609
   1614 /usr/libexec/gsd-a11y-setti    1228    1614    1614
   1615 /usr/libexec/gsd-color         1228    1615    1615
   1618 /usr/libexec/gsd-datetime      1228    1618    1618
   1625 /usr/libexec/gsd-housekeepi    1228    1625    1625
   1627 /usr/libexec/gsd-keyboard      1228    1627    1627
   1629 /usr/libexec/gsd-media-keys    1228    1629    1629
   1635 /usr/libexec/gsd-power         1228    1635    1635
   1638 /usr/libexec/gsd-print-noti    1228    1638    1638
   1640 /usr/libexec/gsd-rfkill        1228    1640    1640
   1642 /usr/libexec/gsd-screensave    1228    1642    1642
   1643 /usr/libexec/gsd-sharing       1228    1643    1643
   1644 /usr/libexec/gsd-smartcard     1228    1644    1644
   1648 /usr/libexec/gsd-sound         1228    1648    1648
   1654 /usr/libexec/gsd-wacom         1228    1654    1654
   1679 /usr/libexec/evolution-data    1412    1412    1412
