    PID CMD                            PPID    PGID     SID
   1216 /usr/lib/systemd/systemd --       1    1216    1216
   1217 (sd-pam)                       1216    1216    1216
   1244 /usr/bin/pipewire              1216    1244    1244
   1245 /usr/bin/pipewire -c filter    1216    1245    1245
   1248 /usr/bin/wireplumber           1216    1248    1248
   1249 /usr/bin/pipewire-pulse        1216    1249    1249
   1250 /usr/bin/gnome-keyring-daem    1216    1250    1250
   1257 /usr/bin/dbus-daemon --sess    1216    1257    1257
   1286 /usr/libexec/xdg-document-p    1216    1286    1286
   1298 /usr/libexec/xdg-permission    1216    1298    1298
   1372 /usr/libexec/gcr-ssh-agent     1216    1372    1372
   1373 /usr/libexec/gnome-session-    1216    1373    1373
   1388 /usr/libexec/gvfsd             1216    1388    1388
   1395 /usr/libexec/gvfsd-fuse /ru    1216    1388    1388
   1398 /usr/libexec/gnome-session-    1216    1398    1398
   1440 /usr/libexec/at-spi-bus-lau    1398    1398    1398
   1441 /usr/bin/gnome-shell           1216    1441    1441
   1457 /usr/bin/dbus-daemon --conf    1440    1398    1398
   1519 /usr/libexec/at-spi2-regist    1216    1398    1398
   1554 /usr/libexec/gnome-shell-ca    1216    1257    1257
   1568 /usr/libexec/evolution-sour    1216    1568    1568
   1583 /usr/bin/gjs -m /usr/share/    1216    1257    1257
   1604 /usr/bin/ibus-daemon --pane    1216    1604    1604
   1605 /usr/libexec/gsd-a11y-setti    1216    1605    1605
   1609 /usr/libexec/gsd-color         1216    1609    1609
   1610 /usr/libexec/gsd-datetime      1216    1610    1610
   1612 /usr/libexec/gsd-housekeepi    1216    1612    1612
   1614 /usr/libexec/gsd-keyboard      1216    1614    1614
   1619 /usr/libexec/gsd-media-keys    1216    1619    1619
   1622 /usr/libexec/gsd-power         1216    1622    1622
   1626 /usr/libexec/gsd-print-noti    1216    1626    1626
   1627 /usr/libexec/gsd-rfkill        1216    1627    1627
   1628 /usr/libexec/gsd-screensave    1216    1628    1628
   1631 /usr/libexec/gsd-sharing       1216    1631    1631
   1632 /usr/libexec/gsd-smartcard     1216    1632    1632
   1633 /usr/libexec/gsd-sound         1216    1633    1633
   1634 /usr/libexec/gsd-wacom         1216    1634    1634
   1686 /usr/libexec/evolution-data    1398    1398    1398
   1699 /usr/libexec/gvfs-udisks2-v    1216    1699    1699
   1747 /usr/libexec/gsd-disk-utili    1398    1398    1398
   1774 /usr/libexec/ibus-memconf      1604    1604    1604
   1799 /usr/libexec/ibus-extension    1604    1604    1604
   1807 /usr/libexec/ibus-portal       1216    1257    1257
   1847 /usr/libexec/gvfs-afc-volum    1216    1847    1847
   1862 /usr/libexec/gsd-printer       1216    1626    1626
